GCF_000657395	NZ_KK326462
GCF_000657395	NZ_KK326463
GCF_000657395	NZ_KK326465
GCF_000657395	NZ_KK326470
GCF_000657395	NZ_KK326472
GCF_000657395	NZ_KK326474
GCF_000657395	NZ_KK326477
GCF_000657395	NZ_KK326479
GCF_000657395	NZ_KK326482
GCF_000657395	NZ_KK326483
GCF_000657415	NZ_KK326486
GCF_000657415	NZ_KK326489
GCF_000657415	NZ_KK326493
GCF_000657415	NZ_KK326499
GCF_000657415	NZ_KK326505
GCF_000657415	NZ_KK326513
GCF_000657415	NZ_KK326514
GCF_000657415	NZ_KK326519
GCF_000657415	NZ_KK326535
GCF_000657415	NZ_KK326542
GCF_000657415	NZ_KK326547
GCF_000657415	NZ_KK326549
GCF_000657415	NZ_KK326559
GCF_000657415	NZ_KK326567
GCF_000657415	NZ_KK326573
GCF_000657415	NZ_KK326574
GCF_000657415	NZ_KK326576
GCF_000657415	NZ_KK326580
GCF_000657415	NZ_KK326581
GCF_000657415	NZ_KK326589
GCF_000657415	NZ_KK326599
GCF_000657415	NZ_KK326603
GCF_000657415	NZ_KK326608
GCF_000657415	NZ_KK326611
GCF_000657415	NZ_KK326612
GCF_000657415	NZ_KK326620
GCF_000657415	NZ_KK326622
GCF_000657415	NZ_KK326627
GCF_000657415	NZ_KK326628
GCF_000657415	NZ_KK326637
GCF_000657415	NZ_KK326639
GCF_000657415	NZ_KK326640
GCF_000657415	NZ_KK326649
GCF_000657415	NZ_KK326653
GCF_000657415	NZ_KK326658
GCF_000657415	NZ_KK326666
GCF_000657415	NZ_KK326669
GCF_000657415	NZ_KK326671
GCF_000657415	NZ_KK326677
GCF_000657415	NZ_KK326680
GCF_000657415	NZ_KK326687
GCF_000657415	NZ_KK326694
GCF_000657415	NZ_KK326695
GCF_000657415	NZ_KK326704
GCF_000657415	NZ_KK326711
GCF_000657415	NZ_KK326717
